iter	Passed	Remaining
900	25373	2787
901	25398	2759
902	25425	2731
903	25454	2703
904	25484	2675
905	25512	2646
906	25539	2618
907	25565	2590
908	25593	2562
909	25622	2534
910	25649	2505
911	25678	2477
912	25706	2449
913	25736	2421
914	25766	2393
915	25794	2365
916	25821	2337
917	25850	2309
918	25879	2281
919	25907	2252
920	25936	2224
921	25963	2196
922	25989	2168
923	26016	2139
924	26045	2111
925	26073	2083
926	26101	2055
927	26129	2027
928	26156	1999
929	26186	1971
930	26214	1942
931	26241	1914
932	26271	1886
933	26300	1858
934	26329	1830
935	26359	1802
936	26388	1774
937	26415	1746
938	26441	1717
939	26470	1689
940	26500	1661
941	26530	1633
942	26556	1605
943	26585	1577
944	26611	1548
945	26639	1520
946	26670	1492
947	26698	1464
948	26726	1436
949	26755	1408
950	26785	1380
951	26814	1352
952	26845	1323
953	26877	1295
954	26910	1268
955	26940	1239
956	26973	1211
957	27002	1183
958	27030	1155
959	27060	1127
960	27088	1099
961	27116	1071
962	27144	1042
963	27172	1014
964	27200	986
965	27229	958
966	27254	930
967	27282	901
968	27310	873
969	27340	845
970	27369	817
971	27398	789
972	27427	761
973	27457	732
974	27483	704
975	27512	676
976	27540	648
977	27566	620
978	27591	591
979	27618	563
980	27645	535
981	27672	507
982	27704	479
983	27740	451
984	27776	422
985	27806	394
986	27838	366
987	27865	338
988	27894	310
989	27924	282
990	27950	253
991	27979	225
992	28009	197
993	28041	169
994	28071	141
995	28098	112
996	28128	84
997	28155	56
998	28182	28
999	28210	0
